artistid|artist|songname|releasename|workid|recordingid|release_group|releasedate|label_cnt|country_cnt|rating
303|The Beatles|Hallelujah, I Love Her So|Rockin' at the Star-Club|2648186|2205072|209520|1962-01-01|1|1|0
303|The Beatles|Hippy Hippy Shake|Rockin' at the Star-Club|6569228|2205069|209520|1962-01-01|1|1|0
303|The Beatles|I Saw Her Standing There|Rockin' at the Star-Club|295291|2205066|209520|1962-01-01|1|1|0
303|The Beatles|I’m Talking About You|Rockin' at the Star-Club|8034555|2205080|209520|1962-01-01|1|1|0
303|The Beatles|Long Tall Sally|Rockin' at the Star-Club|9026995|2205081|209520|1962-01-01|1|1|0
303|The Beatles|Matchbox|Rockin' at the Star-Club|6186937|2205071|209520|1962-01-01|1|1|0
303|The Beatles|Roll Over Beethoven|Rockin' at the Star-Club|8322242|2205074|209520|1962-01-01|2|2|0
303|The Beatles|Sweet Little Sixteen|Rockin' at the Star-Club|6007733|2205067|209520|1962-01-01|1|1|0
303|The Beatles|Twist and Shout|Rockin' at the Star-Club|7426353|2205076|209520|1962-01-01|1|1|0
303|The Beatles|From Me to You|The Beatles Beat|177449|337058|606511|1962-01-01|1|1|20
303|The Beatles|I Want to Hold Your Hand|The Beatles Beat|7945955|6842710|606511|1962-01-01|1|1|20
303|The Beatles|Money (That’s What I Want)|The Beatles Beat|286228|6842716|606511|1962-01-01|1|1|50
303|The Beatles|Roll Over Beethoven|The Beatles Beat|8322242|286222|606511|1962-01-01|1|1|20
303|The Beatles|She Loves You|The Beatles Beat|5682002|10506875|606511|1962-01-01|1|1|20
303|The Beatles|You’ve Got to Hide Your Love Away|The Beatles Best: Super Star Hit Collection, Volume 3|674753|12670904|1089612|1962-01-01|2|2|0
303|The Beatles|A Hard Day’s Night|The Best of Beatles|6253455|9704329|867992|1962-01-01|4|4|0
303|The Beatles|All My Loving|The Best of Beatles|2261384|14506508|867992|1962-01-01|4|4|0
303|The Beatles|Drive My Car|The Best of Beatles|613806|9704445|867992|1962-01-01|4|4|0
303|The Beatles|I’m Down|The Best of Beatles|6267352|3688404|867992|1962-01-01|4|4|0
303|The Beatles|Roll Over Beethoven|The Best of Beatles|8322242|286222|867992|1962-01-01|4|4|0
303|The Beatles|Twist and Shout|The Best of Beatles|7426353|9704336|867992|1962-01-01|4|4|0
303|The Beatles|You’re Going to Lose That Girl|The Best of Beatles|674756|9704436|867992|1962-01-01|4|4|0
303|The Beatles|You’ve Got to Hide Your Love Away|The Best of Beatles|674753|9704389|867992|1962-01-01|4|4|0
303|The Beatles|Love Me Do|Love Me Do|295298|14523231|564256|1962-10-5|4|4|90
303|The Beatles|Love Me Do|Love Me Do|295298|14550202|564256|1962-10-5|3|3|90
303|The Beatles|P.S. I Love You|Love Me Do|295299|14523232|564256|1962-10-5|4|4|90
303|The Beatles|All I’ve Got to Do|With The Beatles|286216|659212|40445|1963-11-22|3|3|74
303|The Beatles|All I’ve Got to Do|With The Beatles|286216|14506507|40445|1963-11-22|1|1|74
303|The Beatles|All My Loving|With The Beatles|2261384|977878|40445|1963-11-22|3|3|74
303|The Beatles|All My Loving|With The Beatles|2261384|14506508|40445|1963-11-22|1|1|74
303|The Beatles|Devil in His Heart|With The Beatles|1777813|1777813|40445|1963-11-22|3|3|74
303|The Beatles|Devil in His Heart|With The Beatles|1777813|14506517|40445|1963-11-22|1|1|60
303|The Beatles|Don’t Bother Me|With The Beatles|286218|659214|40445|1963-11-22|3|3|74
303|The Beatles|Don’t Bother Me|With The Beatles|286218|14506509|40445|1963-11-22|1|1|74
303|The Beatles|Hold Me Tight|With The Beatles|286223|286223|40445|1963-11-22|3|3|74
303|The Beatles|Hold Me Tight|With The Beatles|286223|14506514|40445|1963-11-22|1|1|74
303|The Beatles|I Wanna Be Your Man|With The Beatles|286225|1434054|40445|1963-11-22|3|3|74
303|The Beatles|I Wanna Be Your Man|With The Beatles|286225|14506516|40445|1963-11-22|1|1|74
303|The Beatles|It Won’t Be Long|With The Beatles|286215|659211|40445|1963-11-22|3|3|74
303|The Beatles|It Won’t Be Long|With The Beatles|286215|14506506|40445|1963-11-22|1|1|74
303|The Beatles|Little Child|With The Beatles|286219|286219|40445|1963-11-22|3|3|74
303|The Beatles|Little Child|With The Beatles|286219|14506510|40445|1963-11-22|1|1|74
303|The Beatles|Money (That’s What I Want)|With The Beatles|286228|6842716|40445|1963-11-22|3|3|50
303|The Beatles|Money (That’s What I Want)|With The Beatles|286228|14506519|40445|1963-11-22|1|1|74
303|The Beatles|Not a Second Time|With The Beatles|286227|286227|40445|1963-11-22|3|3|74
303|The Beatles|Not a Second Time|With The Beatles|286227|14506518|40445|1963-11-22|1|1|74
303|The Beatles|Please Mr. Postman|With The Beatles|6563829|1664143|40445|1963-11-22|3|3|74
303|The Beatles|Please Mr. Postman|With The Beatles|6563829|14506512|40445|1963-11-22|1|1|74
303|The Beatles|Roll Over Beethoven|With The Beatles|8322242|286222|40445|1963-11-22|3|3|74
303|The Beatles|Roll Over Beethoven|With The Beatles|8322242|14506513|40445|1963-11-22|1|1|74
303|The Beatles|Till There Was You|With The Beatles|286220|1434052|40445|1963-11-22|3|3|74
303|The Beatles|Till There Was You|With The Beatles|286220|14506511|40445|1963-11-22|1|1|74
303|The Beatles|You’ve Really Got a Hold on Me|With The Beatles|7906560|659220|40445|1963-11-22|3|3|74
303|The Beatles|You’ve Really Got a Hold on Me|With The Beatles|7906560|14506515|40445|1963-11-22|1|1|74
303|The Beatles|A Taste of Honey|Please Please Me|295302|295302|41462|1963-3-22|2|2|78
303|The Beatles|A Taste of Honey|Please Please Me|295302|14523235|41462|1963-3-22|4|4|78
303|The Beatles|Anna (Go to Him)|Please Please Me|8285324|295293|41462|1963-3-22|2|2|78
303|The Beatles|Anna (Go to Him)|Please Please Me|8285324|14523226|41462|1963-3-22|4|4|78
303|The Beatles|Ask Me Why|Please Please Me|295296|295296|41462|1963-3-22|2|2|78
303|The Beatles|Ask Me Why|Please Please Me|295296|14523229|41462|1963-3-22|4|4|78
303|The Beatles|Baby It’s You|Please Please Me|6377715|295300|41462|1963-3-22|2|2|78
303|The Beatles|Baby It’s You|Please Please Me|6377715|14523233|41462|1963-3-22|4|4|78
303|The Beatles|Boys|Please Please Me|8485105|295295|41462|1963-3-22|2|2|100
303|The Beatles|Boys|Please Please Me|8485105|14523228|41462|1963-3-22|4|4|78
303|The Beatles|Chains|Please Please Me|8274576|295294|41462|1963-3-22|2|2|78
303|The Beatles|Chains|Please Please Me|8274576|14523227|41462|1963-3-22|4|4|78
303|The Beatles|Do You Want to Know a Secret|Please Please Me|295301|295301|41462|1963-3-22|2|2|78
303|The Beatles|Do You Want to Know a Secret|Please Please Me|295301|14523234|41462|1963-3-22|4|4|78
303|The Beatles|I Saw Her Standing There|Please Please Me|295291|295291|41462|1963-3-22|2|2|78
303|The Beatles|I Saw Her Standing There|Please Please Me|295291|14523224|41462|1963-3-22|4|4|78
303|The Beatles|Love Me Do|Please Please Me|295298|14523231|41462|1963-3-22|6|6|78
303|The Beatles|Misery|Please Please Me|295292|295292|41462|1963-3-22|2|2|78
303|The Beatles|Misery|Please Please Me|295292|14523225|41462|1963-3-22|4|4|78
303|The Beatles|P.S. I Love You|Please Please Me|295299|14523232|41462|1963-3-22|6|6|78
303|The Beatles|Please Please Me|Please Please Me|295297|295297|41462|1963-3-22|2|2|80
303|The Beatles|Please Please Me|Please Please Me|295297|14523230|41462|1963-3-22|4|4|78
303|The Beatles|There’s a Place|Please Please Me|295303|295303|41462|1963-3-22|2|2|78
303|The Beatles|There’s a Place|Please Please Me|295303|14523236|41462|1963-3-22|4|4|78
303|The Beatles|Twist and Shout|Please Please Me|7426353|295304|41462|1963-3-22|2|2|78
303|The Beatles|Twist and Shout|Please Please Me|7426353|14523237|41462|1963-3-22|4|4|78
303|The Beatles|She Loves You|She Loves You|5682002|10506875|502729|1963-8-23|1|1|80
303|The Beatles|Baby’s in Black|Beatles for Sale|368497|14523240|52784|1964-12-4|7|7|73
303|The Beatles|Eight Days a Week|Beatles for Sale|368502|14523245|52784|1964-12-4|7|7|73
303|The Beatles|Every Little Thing|Beatles for Sale|368505|14523248|52784|1964-12-4|7|7|73
303|The Beatles|Everybody’s Trying to Be My Baby|Beatles for Sale|368508|14523251|52784|1964-12-4|7|7|73
303|The Beatles|Hey-Hey-Hey-Hey! (Going Back to Birmingham)|Beatles for Sale|8460334|14523244|52784|1964-12-4|7|7|73
303|The Beatles|Honey, Don’t!|Beatles for Sale|6302087|14523247|52784|1964-12-4|7|7|73
303|The Beatles|I Don’t Want to Spoil the Party|Beatles for Sale|368506|14523249|52784|1964-12-4|7|7|73
303|The Beatles|I’ll Follow the Sun|Beatles for Sale|368499|14523242|52784|1964-12-4|7|7|73
303|The Beatles|I’m a Loser|Beatles for Sale|368496|9299925|52784|1964-12-4|1|1|73
303|The Beatles|I’m a Loser|Beatles for Sale|368496|14523239|52784|1964-12-4|6|6|73
303|The Beatles|Kansas City|Beatles for Sale|8055018|14523244|52784|1964-12-4|7|7|73
303|The Beatles|Mr. Moonlight|Beatles for Sale|9299926|14523243|52784|1964-12-4|7|7|73
303|The Beatles|No Reply|Beatles for Sale|368495|14523238|52784|1964-12-4|7|7|73
303|The Beatles|Rock and Roll Music|Beatles for Sale|5506905|14523241|52784|1964-12-4|14|14|73
303|The Beatles|What You’re Doing|Beatles for Sale|368507|14523250|52784|1964-12-4|7|7|73
303|The Beatles|Words of Love|Beatles for Sale|368503|14523246|52784|1964-12-4|7|7|73
303|The Beatles|Can’t Buy Me Love|Can’t Buy Me Love|1141092|6377526|564242|1964-3-16|1|1|0
303|The Beatles|You Can’t Do That|Can’t Buy Me Love|194160|2759209|564242|1964-3-16|1|1|0
303|The Beatles|A Hard Day’s Night|A Hard Day’s Night|6253455|14523309|299487|1964-6-26|3|3|77
303|The Beatles|And I Love Her|A Hard Day’s Night|8954068|14523313|299487|1964-6-26|3|3|77
303|The Beatles|Can’t Buy Me Love|A Hard Day’s Night|1141092|14523315|299487|1964-6-26|3|3|77
303|The Beatles|I Should Have Known Better|A Hard Day’s Night|194150|14523310|299487|1964-6-26|3|3|77
303|The Beatles|I’ll Be Back|A Hard Day’s Night|194161|14523321|299487|1964-6-26|3|3|77
303|The Beatles|I’ll Cry Instead|A Hard Day’s Night|6186932|14523317|299487|1964-6-26|3|3|77
303|The Beatles|Things We Said Today|A Hard Day’s Night|7295146|14523318|299487|1964-6-26|3|3|77
303|The Beatles|You Can’t Do That|A Hard Day’s Night|194160|14523320|299487|1964-6-26|3|3|77
303|The Beatles|A Hard Day’s Night|A Hard Day’s Night: Original Motion Picture Sound Track|6253455|2815975|299487|1964-6-26|4|4|77
303|The Beatles|A Hard Day’s Night|A Hard Day’s Night: Original Motion Picture Sound Track|6253455|2815976|299487|1964-6-26|8|8|60
303|The Beatles|A Hard Day’s Night|A Hard Day’s Night: Original Motion Picture Sound Track|6253455|2815987|299487|1964-6-26|4|4|77
303|The Beatles|Can’t Buy Me Love|A Hard Day’s Night: Original Motion Picture Sound Track|1141092|6377526|299487|1964-6-26|4|4|77
303|The Beatles|I Should Have Known Better|A Hard Day’s Night: Original Motion Picture Sound Track|194150|15746933|299487|1964-6-26|4|4|77
303|The Beatles|I’ll Cry Instead|A Hard Day’s Night: Original Motion Picture Sound Track|6186932|2815966|299487|1964-6-26|4|4|77
303|The Beatles|I’ll Cry Instead|A Hard Day’s Night: Original Motion Picture Sound Track|6186932|2815978|299487|1964-6-26|4|4|77
303|The Beatles|Drive My Car|Rubber Soul|613806|11959905|155522|1965-12-3|2|2|88
303|The Beatles|Drive My Car|Rubber Soul|613806|14506762|155522|1965-12-3|1|1|88
303|The Beatles|Drive My Car|Rubber Soul|613806|14523196|155522|1965-12-3|4|4|88
303|The Beatles|Girl|Rubber Soul|250001|14506770|155522|1965-12-3|1|1|88
303|The Beatles|Girl|Rubber Soul|250001|14523204|155522|1965-12-3|6|6|88
303|The Beatles|If I Needed Someone|Rubber Soul|250005|14506774|155522|1965-12-3|1|1|88
303|The Beatles|If I Needed Someone|Rubber Soul|250005|14523208|155522|1965-12-3|6|6|88
303|The Beatles|In My Life|Rubber Soul|10619777|14506772|155522|1965-12-3|1|1|88
303|The Beatles|In My Life|Rubber Soul|10619777|14523206|155522|1965-12-3|6|6|88
303|The Beatles|Michelle|Rubber Soul|7524001|14506768|155522|1965-12-3|1|1|88
303|The Beatles|Michelle|Rubber Soul|7524001|14523202|155522|1965-12-3|6|6|88
303|The Beatles|Norwegian Wood (This Bird Has Flown)|Rubber Soul|249994|14506763|155522|1965-12-3|1|1|88
303|The Beatles|Norwegian Wood (This Bird Has Flown)|Rubber Soul|249994|14523197|155522|1965-12-3|6|6|88
303|The Beatles|Nowhere Man|Rubber Soul|249996|14506765|155522|1965-12-3|1|1|88
303|The Beatles|Nowhere Man|Rubber Soul|249996|14523199|155522|1965-12-3|6|6|88
303|The Beatles|Run for Your Life|Rubber Soul|250006|14506775|155522|1965-12-3|1|1|88
303|The Beatles|Run for Your Life|Rubber Soul|250006|14523209|155522|1965-12-3|6|6|88
303|The Beatles|Ticket to Ride|Ticket to Ride|674757|14523258|564994|1965-4-9|1|1|80
303|The Beatles|Help!|Help!|6267351|14523252|554683|1965-7-19|1|1|100
303|The Beatles|I’m Down|Help!|6267352|3688404|554683|1965-7-19|1|1|80
303|The Beatles|Act Naturally|Help!|674758|674758|86208|1965-8-6|1|1|81
303|The Beatles|Act Naturally|Help!|674758|14523217|86208|1965-8-6|5|5|81
303|The Beatles|Another Girl|Help!|674755|674755|86208|1965-8-6|1|1|81
303|The Beatles|Another Girl|Help!|674755|14523214|86208|1965-8-6|5|5|81
303|The Beatles|Help!|Help!|6267351|674751|86208|1965-8-6|1|1|81
303|The Beatles|Help!|Help!|6267351|14523210|86208|1965-8-6|5|5|81
303|The Beatles|I Need You|Help!|674754|674754|86208|1965-8-6|1|1|81
303|The Beatles|I Need You|Help!|674754|14523213|86208|1965-8-6|5|5|81
303|The Beatles|It’s Only Love|Help!|674759|674759|86208|1965-8-6|1|1|81
303|The Beatles|It’s Only Love|Help!|674759|14523218|86208|1965-8-6|5|5|81
303|The Beatles|I’ve Just Seen a Face|Help!|674762|674762|86208|1965-8-6|1|1|81
303|The Beatles|I’ve Just Seen a Face|Help!|674762|14523221|86208|1965-8-6|5|5|100
303|The Beatles|Tell Me What You See|Help!|674761|674761|86208|1965-8-6|1|1|81
303|The Beatles|Tell Me What You See|Help!|674761|14523220|86208|1965-8-6|5|5|81
303|The Beatles|The Night Before|Help!|674752|674752|86208|1965-8-6|1|1|100
303|The Beatles|The Night Before|Help!|674752|14523211|86208|1965-8-6|5|5|81
303|The Beatles|Ticket to Ride|Help!|674757|352249|86208|1965-8-6|1|1|81
303|The Beatles|Ticket to Ride|Help!|674757|14523216|86208|1965-8-6|5|5|81
303|The Beatles|Yesterday|Help!|674763|674763|86208|1965-8-6|1|1|81
303|The Beatles|Yesterday|Help!|674763|14523222|86208|1965-8-6|5|5|81
303|The Beatles|You Like Me Too Much|Help!|674760|674760|86208|1965-8-6|1|1|81
303|The Beatles|You Like Me Too Much|Help!|674760|14523219|86208|1965-8-6|5|5|81
303|The Beatles|You’re Going to Lose That Girl|Help!|674756|674756|86208|1965-8-6|1|1|81
303|The Beatles|You’re Going to Lose That Girl|Help!|674756|14523215|86208|1965-8-6|5|5|81
303|The Beatles|You’ve Got to Hide Your Love Away|Help!|674753|674753|86208|1965-8-6|1|1|81
303|The Beatles|You’ve Got to Hide Your Love Away|Help!|674753|14523212|86208|1965-8-6|5|5|81
303|The Beatles|And Your Bird Can Sing|Revolver|15243|15243|212336|1966-8-5|8|8|93
303|The Beatles|Doctor Robert|Revolver|15246|1835472|212336|1966-8-5|8|8|93
303|The Beatles|Eleanor Rigby|Revolver|8960072|2238968|212336|1966-8-5|8|8|93
303|The Beatles|For No One|Revolver|15249|2238974|212336|1966-8-5|8|8|93
303|The Beatles|Got to Get You Into My Life|Revolver|15250|2238976|212336|1966-8-5|8|8|93
303|The Beatles|Here, There and Everywhere|Revolver|1532808|2238970|212336|1966-8-5|8|8|93
303|The Beatles|I Want to Tell You|Revolver|292251|2238975|212336|1966-8-5|8|8|93
303|The Beatles|I’m Only Sleeping|Revolver|292249|11612187|212336|1966-8-5|8|8|93
303|The Beatles|She Said She Said|Revolver|2238972|2238972|212336|1966-8-5|8|8|93
303|The Beatles|Taxman|Revolver|15255|2238967|212336|1966-8-5|8|8|93
303|The Beatles|Tomorrow Never Knows|Revolver|3631|2238977|212336|1966-8-5|8|8|93
303|The Beatles|Yellow Submarine|Revolver|15257|6386175|212336|1966-8-5|8|8|93
303|The Beatles|All You Need Is Love|Magical Mystery Tour|6798|8652840|24803|1967-11-27|8|8|93
303|The Beatles|Baby You’re a Rich Man|Magical Mystery Tour|198599|17598320|24803|1967-11-27|8|8|93
303|The Beatles|Blue Jay Way|Magical Mystery Tour|198593|3498194|24803|1967-11-27|8|8|93
303|The Beatles|Hello, Goodbye|Magical Mystery Tour|155969|9646177|24803|1967-11-27|8|8|93
303|The Beatles|I Am the Walrus|Magical Mystery Tour|155968|3968976|24803|1967-11-27|8|8|40
303|The Beatles|Magical Mystery Tour|Magical Mystery Tour|155971|3968974|24803|1967-11-27|8|8|93
303|The Beatles|Penny Lane|Magical Mystery Tour|194529|17596829|24803|1967-11-27|8|8|93
303|The Beatles|Strawberry Fields Forever|Magical Mystery Tour|3440097|17596826|24803|1967-11-27|8|8|93
303|The Beatles|The Fool on the Hill|Magical Mystery Tour|755080|3498192|24803|1967-11-27|8|8|93
303|The Beatles|Your Mother Should Know|Magical Mystery Tour|198594|3968975|24803|1967-11-27|8|8|93
303|The Beatles|A Day in the Life|Sgt. Pepper's Lonely Hearts Club Band|8018704|6393549|22325|1967-6-1|1|1|60
303|The Beatles|Being for the Benefit of Mr. Kite!|Sgt. Pepper's Lonely Hearts Club Band|182538|7864228|22325|1967-6-1|1|1|92
303|The Beatles|Getting Better|Sgt. Pepper's Lonely Hearts Club Band|755068|8652830|22325|1967-6-1|1|1|92
303|The Beatles|Good Morning Good Morning|Sgt. Pepper's Lonely Hearts Club Band|182542|11484734|22325|1967-6-1|1|1|92
303|The Beatles|Lucy in the Sky With Diamonds|Sgt. Pepper's Lonely Hearts Club Band|182534|12247338|22325|1967-6-1|1|1|92
303|The Beatles|Sgt. Pepper’s Lonely Hearts Club Band|Sgt. Pepper's Lonely Hearts Club Band|182532|6393547|22325|1967-6-1|1|1|92
303|The Beatles|Sgt. Pepper’s Lonely Hearts Club Band (reprise)|Sgt. Pepper's Lonely Hearts Club Band|182543|11484735|22325|1967-6-1|1|1|92
303|The Beatles|She’s Leaving Home|Sgt. Pepper's Lonely Hearts Club Band|8584776|11484729|22325|1967-6-1|1|1|92
303|The Beatles|When I’m Sixty‐Four|Sgt. Pepper's Lonely Hearts Club Band|2374845|11484732|22325|1967-6-1|1|1|92
303|The Beatles|With a Little Help From My Friends|Sgt. Pepper's Lonely Hearts Club Band|6372993|6393548|22325|1967-6-1|1|1|92
303|The Beatles|Within You Without You|Sgt. Pepper's Lonely Hearts Club Band|182539|11484731|22325|1967-6-1|1|1|92
303|The Beatles|A Day in the Life|Sgt. Pepper’s Lonely Hearts Club Band|8018704|6393549|22325|1967-6-1|8|8|60
303|The Beatles|Being for the Benefit of Mr. Kite!|Sgt. Pepper’s Lonely Hearts Club Band|182538|7864228|22325|1967-6-1|8|8|92
303|The Beatles|Getting Better|Sgt. Pepper’s Lonely Hearts Club Band|755068|8652830|22325|1967-6-1|8|8|92
303|The Beatles|Good Morning Good Morning|Sgt. Pepper’s Lonely Hearts Club Band|182542|11484734|22325|1967-6-1|8|8|92
303|The Beatles|Lucy in the Sky With Diamonds|Sgt. Pepper’s Lonely Hearts Club Band|182534|12247338|22325|1967-6-1|8|8|92
303|The Beatles|Sgt. Pepper’s Lonely Hearts Club Band|Sgt. Pepper’s Lonely Hearts Club Band|182532|6393547|22325|1967-6-1|8|8|92
303|The Beatles|Sgt. Pepper’s Lonely Hearts Club Band (reprise)|Sgt. Pepper’s Lonely Hearts Club Band|182543|11484735|22325|1967-6-1|8|8|92
303|The Beatles|She’s Leaving Home|Sgt. Pepper’s Lonely Hearts Club Band|8584776|11484729|22325|1967-6-1|8|8|92
303|The Beatles|When I’m Sixty‐Four|Sgt. Pepper’s Lonely Hearts Club Band|2374845|11484732|22325|1967-6-1|8|8|92
303|The Beatles|With a Little Help From My Friends|Sgt. Pepper’s Lonely Hearts Club Band|6372993|6393548|22325|1967-6-1|8|8|92
303|The Beatles|Within You Without You|Sgt. Pepper’s Lonely Hearts Club Band|182539|11484731|22325|1967-6-1|8|8|92
303|The Beatles|Back in the U.S.S.R.|The Beatles|159792|159792|18243|1968-11-22|6|6|88
303|The Beatles|Blackbird|The Beatles|159802|159802|18243|1968-11-22|6|6|88
303|The Beatles|Dear Prudence|The Beatles|159793|159793|18243|1968-11-22|6|6|88
303|The Beatles|Everybody’s Got Something to Hide Except Me and My Monkey|The Beatles|182548|182548|18243|1968-11-22|6|6|88
303|The Beatles|Glass Onion|The Beatles|159794|159794|18243|1968-11-22|6|6|88
303|The Beatles|Good Night|The Beatles|182557|182557|18243|1968-11-22|6|6|88
303|The Beatles|Happiness Is a Warm Gun|The Beatles|159799|159799|18243|1968-11-22|6|6|88
303|The Beatles|Helter Skelter|The Beatles|182550|182550|18243|1968-11-22|6|6|86
303|The Beatles|Honey Pie|The Beatles|182553|182553|18243|1968-11-22|6|6|88
303|The Beatles|I Will|The Beatles|6279932|159807|18243|1968-11-22|6|6|88
303|The Beatles|I’m So Tired|The Beatles|159801|159801|18243|1968-11-22|6|6|88
