workid|artist|songname|minreleasedate|num_releases|countries|avg_rating|lyrics|title_sent|lyric_sent|is_cover|artist_cnt|cov_rating_avg|times_covered
155968|The Beatles|I Am the Walrus|1967-11-27|5|5|0|I am he as you are he as you are me and we are all together See how they run like pigs from a gun See how they fly I'm crying Sitting on a cornflake Waiting for the van to come Corporation T-shirt Stupid bloody Tuesday Man, you've been a naughty boy You let your face grow long I am the Eggman (whoo!) They are the Eggmen (whoo!) I am the Walrus Goo goo g'joob Mister city policeman sitting Pretty little policemen in a row See how they fly like Lucy in the sky See how they run I'm crying I'm cry-'-ng (Ahhh!) I'm crying I'm cry-'- (whoooo!) Yellow matter custard Dripping from a dead dog's eye Crabalocker fishwife Pornographic priestess Boy, you've been a naughty girl You let your knickers down I am the Eggman They are the Eggmen I am the Walrus Goo goo g'joob Sitting in an English garden Waiting for the sun If the sun don't come You get a tan from standing in the English rain I am the Eggman ( Now, good sir, ... ) They are the Eggmen ( ... poor man, made tame to fortune's... ) I am the Walrus Goo goo g'joob goo goo g'joob Expert texpert, choking smokers Don't you think the joker laughs at you? (Ho-ho-ho!  Hee-hee-hee!  Ha-ha-ha!) See how they smile like pigs in a sty See how they schnied I'm crying Semolina Pilchard Climbing up the Eiffel Tower Elementary penguin singing Hare Krishna Man, you should've seen them kicking Edgar Allan Poe I am the Eggman (whoo!) They are the Eggmen (whoo!) I am the Walrus (whoo!) Goo goo g'joob, goo goo g'joob Goo goo g'joob, goo goo g'joob, goob Jooba, jooba, jooba Jooba, jooba, jooba Jooba, jooba Jooba, jooba Oompah, oompah, stick it up your jumper (jooba, jooba) Oompah, oompah, stick it up your jumper Everybody's got one (Oompah, oompah) Everybody's got one (stick it up your jumper) Everybody's got one (Oompah, oompah) Everybody's got one (stick it up your jumper) Everybody's got one (Oompah, oompah) Everybody's got one (stick it up your jumper) Everybody's got one (Oompah, oompah) Everybody's got one (stick it up your jumper) Everybody's got one (Oompah, oompah) Everybody's got one (stick it up your jumper) Everybody's got one (Oompah, oompah) Everybody's got one (stick it up your jumper) Slave, Everybody's got one (Oompah, oompah) Everybody's got one (stick it up your jumper) thou hast slain me: Everybody's got one (Oompah, oompah) Everybody's got one (stick it up your jumper) - villain, take my purse: Everybody's got one (Oompah, oompah) Everybody's got one (stick it up your jumper) ( If ever... ) Everybody's got one (Oompah, oompah) ( ... bury my body; ) Everybody's got one (stick it up your jumper) Everybody's got one (Oompah, oompah) Everybody's got one (stick it up your jumper) ( ... the letters which thou find'st about me ) Everybody's got one (Oompah, oompah) ( To ) Everybody's got one (stick it up your jumper) ( Edmund Earl of Gloucester; ) Everybody's got one (Oompah, oompah) ( seek him out ) Everybody's got one (stick it up your jumper) ( Upon the British party: ) Everybody's got one (Oompah, oompah) Everybody's got one (stick it up your jumper) ( O, untimely ) Everybody's got one (Oompah, oompah) ( death! ) Everybody's got one (stick it up your jumper) Everybody's got one (Oompah, oompah) Everybody's got one (stick it up your jumper) Everybody's got one (Oompah, oompah) Everybody's got one (stick it up your jumper) Everybody's got one (Oompah, oompah) ( I know thee well: ) Everybody's got one (stick it up your jumper) ( a serviceable villain; ) Everybody's got one (Oompah, oompah) Everybody's got one (stick it up your jumper) ( As duteous to the vices of thy mistress ) Everybody's got one (Oompah, oompah) ( As badness would desire. ) Everybody's got one (stick it up your jumper) ( What, is he dead? ) Everybody's got one (Oompah, oompah) ( Sit you down, father; ) Everybody's got one (stick it up your jumper) ( rest you.- )|0.0|0.0200310395623|0|40.0|70.0|45.0
155969|The Beatles|Hello, Goodbye|1967-11-27|5|4|0|You say yes, I say no You say stop and I say go, go, go Oh, no You say goodbye and I say hello Hello, hello I don't know why you say goodbye I say hello Hello, hello I don't know why you say goodbye I say hello. I say high, you say low You say why, and I say I don't know Oh, no You say goodbye and I say hello (Hello, goodbye, hello, goodbye) Hello, hello (Hello, goodbye) I don't know why you say goodbye I say hello (Hello, goodbye, hello, goodbye) Hello, hello (Hello, goodbye) I don't know why you say goodbye (Hello, goodbye) I say hello. Why, why, why, why, why, why Do you say goodbye Goodbye, bye, bye, bye, bye Oh, no You say goodbye and I say hello Hello, hello I don't know why you say goodbye I say hello Hello, hello I don't know why you say goodbye I say hello. You say yes (I say yes) I say no (But I may mean no) You say stop (I can stay) But I say go, go, go (Till it's time to go) Oh Oh, no You say goodbye and I say hello Hello, hello I don't know why you say goodbye I say hello Hello, hello I don't know why you say goodbye I say hello Hello, hello I don't know why you say goodbye I say hello-whoa-whoa Hello-o-o Hey-la, hey-ba-hello-ah Hey-la, hey-ba-hello-ah (cha uh-cha uh-cha) Hey-la, hey-ba-hello-ah (whoo-oo) Hey-la, hey-ba-hello-ah (hey-la) Hey-la, hey-ba-hello-ah (cha cha cha) Hey-la, hey-ba-hello-ah (whoo-hoo) Hey-la, hey-ba-hello-ah (cha cha) Hey-la, hey-ba-hello-ah (cha cha) Hey-la, hey-ba-hello-ah|0.0|-0.0508333333333|0|19.0|75.0|21.0
155971|The Beatles|Magical Mystery Tour|1967-11-27|3|3|0|Roll up, roll up for the Magical Mystery Tour! Step right this way! Roll up Roll up for the Mystery Tour Roll up Roll up for the Mystery Tour Roll up (That's an invitation) Roll up for the Mystery Tour Roll up (To make a reservation) Roll up for the Mystery Tour The Magical Mystery Tour Is waiting to take you away Waiting to take you away Roll up Roll up for the Mystery Tour Roll up Roll up for the Mystery Tour Roll up (We got everything you need) Roll up for the Mystery Tour Roll up (Satisfaction guaranteed) Roll up for the Mystery Tour The Magical Mystery Tour Is hoping to take you away Hoping to take you away Mystery trip Ah The Magical Mystery Tour Roll up Roll up for the Mystery Tour Roll up (That's an invitation) Roll up for the Mystery Tour Roll up (To make a reservation) Roll up for the Mystery Tour The Magical Mystery Tour Is coming to take you away Coming to take you away The Magical Mystery Tour Is dying to take you away Dying to take you away Take you today|0.5|0.497448979592|0|14.0|0.0|14.0
155973|The Beatles|Hey Jude|1973-04-02|7|6|0|Hey Jude, don't make it bad Take a sad song and make it better Remember to let her into your heart Then you can start to make it better Hey Jude, don't be afraid You were made to go out and get her The minute you let her under your skin Then you begin to make it better And any time you feel the pain Hey Jude, refrain Don't carry the world upon your shoulder For well you know that it's a fool Who plays it cool By making his world a little colder Na na na na na na na na na Hey Jude, don't let me down You have found her, now go and get her (so let it out and let it in) Remember (Hey Jude) to let her into your heart Then you can start to make it better So let it out and let it in Hey Jude, begin You're waiting for someone to perform with And don't you know that it's just you Hey Jude, you'll do The movement you need is on your shoulder Na na na na na na na na na yeah Hey Jude, don't make it bad Take a sad song and make it better Remember to let her under your skin (Whoa!) Then you begin (Fucking hell) to make it better Better, better, better, better, better! Na, nana, nananana Nananana, hey Jude Na, nana, nananana Nananana, hey Jude Na, nana, nananana Nananana, hey Jude Na, nana, nananana Nananana, hey Jude (Jude, Jude, Judy, Judy, Judy, whoa, whoa!) Na, nana, nananana Nananana, hey Jude (Jude, Jude, Jude, Jude, Jude) Na, nana, nananana (Yeah, yeah, yeah, yeah) Nananana, hey Jude (I know you can make it Jude, you got it for you) Na, nana, nananana (Take a sad song and make it better) Nananana, hey Jude (Jude, hey Jude, whoa!) Na, nana, nananana (Jude) Nananana, hey Jude (Hey, yeaheaheah) Na, nana, nananana (Heyeyeyey) Nananana, hey Jude (Jude, Jude, Jude, Jude, Judy, yeaheaheah) Na, nana, nananana Nananana, hey Jude Na, nana, nananana Nananana, hey Jude (Nananana....) Na, nana, nananana Nananana, hey Jude Na, nana, nananana Nananana, hey Jude Na, nana, nananana (Make it Jude) Nananana, hey Jude (Yeah, yeah, yeah, yeah, yeah!) Na, nana, nananana Nananana, hey Jude (Mamamamama...) Na, nana, nananana Nananana, hey Jude Na, nana, nananana Nananana, hey Jude Na, nana, nananana Nananana, hey Jude|0.0|0.117929292929|0|125.0|98.8230769231|130.0
155974|The Beatles|Revolution|1968-11-22|8|5|0|Aaahhh! You say you want a revolution Well, you know We all want to change the world You tell me that it's evolution Well, you know We all want to change the world But when you talk about destruction Don't you know that you can count me out? You know it's gonna be All right All right All right You say you got a real solution Well, you know We'd all love to see the plan You ask me for a contribution Well, you know We all doing what we can But if you want money for people with minds that hate All I can tell you is, brother, you have to wait You know it's gonna be All right All right All right, ah You say you'll change the constitution Well, you know We all want to change your head You tell me it's the institution Well, you know You'd better free your mind instead But if you go carrying pictures of Chairman Mao You ain't gonna make it with anyone anyhow You know it's gonna be All right All right All right All right, all right, all right All right, all right, all right All right, all right|0.0|0.257142857143|0|35.0|73.3333333333|46.0
159792|The Beatles|Back in the U.S.S.R.|1968-11-22|4|3|0|Oh Flew in from Miami Beach BOAC Didn't get to bed last night On the way the paper bag was on my knee Man, I had a dreadful flight I'm back in the USSR You don't know how lucky you are, boy Back in the USSR Been away so long I hardly knew the place Gee, it's good to be back home Leave it till tomorrow to unpack my case Honey, disconnect the phone I'm back in the USSR You don't know how lucky you are, boy Back in the U.S. Back in the U.S. Back in the USSR Well, the Ukraine girls really knock me out They leave the West behind And Moscow girls make me sing and shout That Georgia's always on my my my my my my my my my mind Oh, come on Whoo, hey Whoo, ooh, yeah Yeah, yeah Hey, I'm back in the USSR You don't know how lucky you are, boys Back in the USSR Well, the Ukraine girls really knock me out They leave the West behind And Moscow girls make me sing and shout That Georgia's always on my my my my my my my my my mind Oh, show me round your snow-peaked mountains way down south Take me to your daddy's farm Let me hear your balalaikas ringing out Come and keep your comrade warm I'm back in the USSR Hey! You don't know how lucky you are, boy Back in the USSR Oh, let me tell you, honey Hey, I'm back I'm back in the USSR Hey, it's so good to be here Yeah, back in the USSR I'm back!|0.0|0.0386284722222|0|24.0|60.0|27.0
159793|The Beatles|Dear Prudence|1968-11-22|2|1|0|Dear Prudence Won't you come out to play? Dear Prudence Greet the brand new day The sun is up, the sky is blue It's beautiful, and so are you Dear Prudence Won't you come out to play? Dear Prudence Open up your eyes Dear Prudence See the sunny skies The wind is low, the birds will sing That you are part of everything Dear Prudence Won't you open up your eyes? Look around, 'round ('Round, 'round, 'round, 'round, 'round, 'round, 'round, 'round) Look around, 'round, 'round ('Round, 'round, 'round, 'round, 'round, 'round, 'round) Look around Dear Prudence Let me see you smile Dear Prudence Like a little child The clouds will be a daisy chain So let me see you smile again Dear Prudence Won't you let me see you smile? Dear Prudence Won't you come out to play? Dear Prudence Greet the brand new day The sun is up, the sky is blue It's beautiful, and so are you Dear Prudence Won't you come out to play?|0.0|-0.029508797654|0|32.0|93.0|33.0
159794|The Beatles|Glass Onion|1968-11-22|3|2|0|I told you 'bout Strawberry Fields You know, the place where nothing is real Well, here's another place you can go-o Where everything flo-ows Looking through the bent-backed tulips To see how the other half live Looking through a glass onion I told you 'bout the walrus and me, man You know that we're as close as can be, man Well, here's another clue for you all The walrus was Paul Standing on the cast iron shore, yeah Lady Madonna trying to make ends meet, yeah Looking through a glass onion Oh, yeah Oh, yeah Oh, yeah Looking through a glass onion I told you 'bout the fool on the hill I tell you, man, he living there still Well, here's another place you can be Listen to me Fixin' the hole in the ocean Tryin' to make a dovetail joint, yeah Looking through a glass onion|0.0|0.0111742424242|0|4.0|0.0|4.0
159795|The Beatles|Ob-La-Di, Ob-La-Da|1968-11-22|3|2|0|"Desmond has a barrow at the marketplace Molly is the singer in a band Desmond says to Molly, ""Girl, I like your face"" And Molly says this as she takes him by the hand Ob-la-di, ob-la-da Life goes on, bra La-la, how the life goes on Ob-la-di, ob-la-da Life goes on, bra La-la, how the life goes on Desmond takes a trolley to the jeweler's store Buys a twenty carat golden ring (rin-ring) Takes it back to Molly waiting at the door And as he gives it to her she begins to sing (sing) Ob-la-di, ob-la-da (la-la-la-la la-la-) Life goes on, bra (la-la la-la-la-laaa) La-la, how the life goes on Ob-la-di, ob-la-da (la-la-la-la la-la-) Life goes on, bra (la-la la-la-la-laaa) La-la, how the life goes on Yeah In a couple of years They have built a home sweet home With a couple of kids running in the yard Of Desmond and Molly Jones (ha ha ha ha) Happy ever after in the market place Desmond lets the children lend a hand (arm!) (leg!) Molly stays at home and does her pretty face And in the evening she still sings it with the band Yes! Ob-la-di, ob-la-da Life goes on, bra La-la, how the life goes on Hey! Ob-la-di, ob-la-da Life goes on, bra La-la, how the life goes on In a couple of years They have built a home sweet home (home: H-O-M-E) With a couple of kids running in the yard Of Desmond and Molly Jones (ha ha ha ha ha ha ha) Hey! Happy ever after in the market place Molly lets the children lend a hand (foot!) Desmond stays at home and does his pretty face And in the evening she's a singer with the band Yeah! Ob-la-di, ob-la-da Life goes on, bra La-la, how the life goes on Hey! Ob-la-di, ob-la-da Life goes on, bra La-la, how the life goes on (ha ha ha ha) And if you want some fun (ha ha ha ha ha ha ha) Take Ob-la-di-bla-da (ha ha ha ha ha ha ha ha) (ha ha ha ha) Ahh... Thank you (ha ha)"|0.0|0.463194444444|0|59.0|60.0|66.0
159797|The Beatles|The Continuing Story of Bungalow Bill|1968-11-22|2|1|0|"Hey, Bungalow Bill What did you kill, Bungalow Bill? Hey, Bungalow Bill What did you kill, Bungalow Bill? (I'll tell you) He went out tiger hunting with his elephant and gun In case of accidents he always took his mom He's the all-American bullet-headed Saxon mother's son All de children sing Hey, Bungalow Bill What did you kill, Bungalow Bill? Hey, Bungalow Bill What did you kill, Bungalow Bill? Deep in the jungle, where the mighty tiger lies Bill and his elephants were taken by surprise So Captain Marvel zapped him right between the eyes All de children sing Hey, Bungalow Bill What did you kill, Bungalow Bill? Hey, Bungalow Bill What did you kill, Bungalow Bill? The children asked him if to kill was not a sin ""Not when he looked so fierce"", his mommy butted in ""If looks could kill, it would have been us instead of him"" All the children sing Hey, Bungalow Bill What did you kill, Bungalow Bill? Hey, Bungalow Bill What did you kill, Bungalow Bill? Hey, Bungalow Bill What did you kill, Bungalow Bill? Hey, Bungalow Bill What did you kill, Bungalow Bill? Hey, Bungalow Bill What did you kill, Bungalow Bill? Hey, Bungalow Bill What did you kill, Bungalow Bill? Hey, Bungalow Bill What did you kill, Bungalow Bill? Hey, Bungalow Bill What did you kill, Bungalow Bill? Spoken: Eh up!"|0.0|0.252380952381|0|5.0|0.0|6.0
159798|The Beatles|While My Guitar Gently Weeps|1968-11-22|4|2|0|I look at you all See the love there that's sleeping While my guitar gently weeps I look at the floor And I see it needs sweeping Still my guitar gently weeps I don't know why nobody told you How to unfold your love I don't know how someone controlled you They bought and so-old you I look at the world And I notice it's turning While my guitar gently weeps (With) every mistake We must surely be learning Still my guitar gently weeps Yeah I don't know how you were diverted You were perverted too I don't know how you were inverted No-one alerted you I look at you all See the love there that's sleeping While my guitar gently weeps Look at you all Still my guitar gently wee-ee-eeps Oh, oh, oh, oh, oh Oh Oh, oh, oh, oh (eee...) Oh, oh, oh (... eee) Oh, oh (eee...) Oh, oh (... eee...) Oh, oh (... eee) Yeah, yeah, yeah (eee...) Yeah, yeah, yeah (... eee...) Yeah, yeah, yeah (... eee...) Go! (... eee) Oh (eee)|0.2|0.325|0|58.0|85.0|62.0
